order_id,product_id,price_at_time_of_order,quantity
1105,56,848.02,1
1787,24,310.81,3
832,5,314.69,6
359,99,776.6,3
292,44,101.57,9
1730,55,181.12,10
1842,96,650.18,2
964,9,95.24,4
961,3,800.94,3
255,88,371.46,1
1182,46,663.99,5
1754,11,163.16,3
998,62,53.68,6
1689,50,518.07,2
1908,75,846.56,1
1827,10,89.29,3
1076,18,299.71,5
219,69,147.29,5
1688,47,289.81,2
195,2,231.91,8
6,51,620.73,9
1063,19,362.48,1
961,12,205.4,6
424,71,725.11,9
1668,14,251.3,9
963,45,283.39,4
699,1,548.35,7
136,7,997.18,4
682,99,395.77,10
489,10,526.25,6
22,11,444.84,1
1255,64,287.76,2
1886,81,638.89,7
1740,20,243.37,5
1367,40,320.83,8
370,69,651.98,4
482,10,927.85,2
1278,35,901.04,7
1385,44,649.22,3
1854,56,68.93,10
1027,17,660.31,8
1983,58,898.96,7
1734,36,649.44,5
1132,79,792.57,4
256,58,359.75,4
1655,55,101.97,6
781,37,631.78,9
679,73,785.91,4
1165,21,490.43,7
1202,21,664.94,2
1759,2,885.34,5
741,11,86.59,6
1038,47,482.58,9
1210,86,392.98,10
425,90,396.46,6
584,99,194.93,3
891,71,765.96,5
1000,14,99.95,9
1630,3,597.58,5
731,84,296.17,1
1522,48,669.65,5
983,91,841.14,1
1176,10,855.45,4
64,63,907.94,7
1282,46,521.18,6
1767,74,933.24,9
1001,11,999.06,7
1997,38,996.58,6
1985,55,728.07,9
599,62,609.46,10
1269,17,243.63,3
464,32,566.56,9
212,6,509.72,4
199,63,822.08,9
1887,63,200.24,9
1377,41,991.86,4
604,1,584.92,5
1614,28,864.88,9
1212,68,834.78,10
1887,52,434.67,1
1540,18,854.59,2
444,26,422.22,1
1954,56,949.82,9
1377,89,590.43,4
243,8,68.26,9
341,40,119.26,4
1651,74,89.07,9
1021,18,79.19,3
598,36,799.85,5
561,96,823.69,8
1368,17,494.79,1
6,73,247.67,9
138,96,729.1,3
516,5,814.38,6
1307,33,878.91,2
41,93,379.83,1
836,27,628.27,4
792,33,938.78,9
721,97,497.79,1
563,54,224.62,3
971,76,783.33,10
1096,88,397.29,6
859,88,71.45,3
1959,48,820.07,5
1147,2,527.21,2
52,47,310.45,3
583,91,569.08,8
1277,40,925.4,2
1432,49,775.24,3
1741,86,603.0,5
730,72,682.07,6
65,70,843.76,8
890,51,847.39,9
1192,50,568.67,3
1135,69,483.43,4
113,86,82.33,8
809,24,676.7,9
852,33,666.51,9
964,16,881.87,10
1630,69,901.21,4
484,22,735.03,1
1704,12,813.44,9
1780,53,444.67,3
1089,69,883.92,10
796,97,382.63,7
1441,36,432.03,6
1603,73,61.55,1
1872,84,213.75,2
610,9,230.49,9
1037,53,810.83,8
1709,71,476.06,4
1376,41,426.58,9
1952,37,239.63,10
757,43,405.25,1
1458,4,536.09,6
960,96,246.48,5
1597,2,487.53,5
789,30,324.44,10
977,83,165.54,6
1348,85,923.77,3
1412,1,190.45,9
588,51,326.63,4
374,39,543.61,2
383,27,630.58,6
827,85,402.47,4
948,87,966.84,1
77,44,307.04,9
1204,12,649.6,1
1971,78,253.0,5
438,51,990.73,10
1489,80,753.39,3
889,45,996.04,3
1663,45,128.33,2
97,9,87.45,2
613,77,717.04,3
1790,66,535.19,10
1879,29,55.28,2
1932,32,835.46,5
421,71,362.1,8
1030,92,248.45,1
379,87,634.01,9
707,71,755.32,4
1368,37,811.67,6
1731,66,63.95,6
1243,83,343.35,10
773,10,829.45,5
1361,81,912.89,4
1350,68,574.67,10
763,57,87.3,5
521,68,628.77,6
1090,98,835.93,1
244,99,595.02,8
1106,63,361.39,6
707,2,513.38,7
1305,72,657.75,1
805,72,874.06,5
1910,54,328.87,2
980,33,381.0,2
1621,10,468.14,8
1877,40,994.45,7
1786,70,115.83,9
603,62,925.21,9
573,81,233.7,8
47,21,227.76,9
1955,38,351.64,9
1726,61,92.41,10
1799,28,359.26,5
825,93,634.13,7
1980,39,275.2,5
1511,3,839.77,5
168,65,207.62,8
1805,78,827.93,6
1697,26,405.75,2
1382,57,279.64,2
558,24,587.54,2
1279,31,130.52,1
1783,70,498.95,2
1892,66,507.14,2
1815,74,584.7,3
1879,12,897.23,10
632,65,788.83,3
151,86,857.63,1
1138,6,296.58,8
1882,56,422.05,2
240,22,440.55,2
1938,62,983.34,7
1342,45,178.04,10
142,29,840.01,7
1631,17,383.48,1
666,31,510.57,8
1722,8,615.62,1
1725,99,301.24,3
201,92,830.22,6
1738,94,125.48,2
307,94,70.04,9
600,89,485.18,8
1107,63,655.73,3
360,81,579.03,1
600,72,501.19,2
1108,3,957.81,10
566,28,717.5,2
634,59,904.94,10
1345,92,323.12,2
378,76,105.97,5
611,81,197.92,7
596,29,363.31,9
1255,62,461.64,2
135,39,104.87,4
147,84,199.54,9
307,98,532.11,1
1707,45,272.01,10
1052,63,803.87,5
711,76,430.65,9
1738,4,645.18,7
97,79,832.94,3
368,60,578.59,10
846,81,306.53,2
601,70,794.2,3
1236,11,805.01,1
1920,87,375.1,4
1978,1,480.87,1
194,89,611.7,8
1630,34,105.93,3
1358,5,980.85,9
242,34,804.71,8
167,9,376.57,4
1398,24,863.65,3
1549,2,238.95,9
749,49,340.81,1
1165,45,532.3,8
382,21,132.74,5
1028,39,966.85,3
1520,51,142.81,2
820,62,606.75,7
1196,97,685.58,5
1564,99,265.03,2
1958,62,145.72,6
1581,72,644.63,7
650,16,512.21,10
652,18,363.56,8
1583,90,621.45,2
705,65,869.06,7
1299,12,979.22,6
394,18,540.16,2
1630,38,740.21,1
966,63,185.94,6
1422,75,596.72,3
981,81,765.38,7
732,84,645.19,4
1492,6,706.81,8
853,47,162.75,3
1493,78,804.96,10
1878,10,90.06,8
1728,89,603.15,7
1953,27,514.88,6
1208,57,51.47,3
1235,9,279.53,6
1956,58,723.86,10
1834,81,735.35,1
374,77,966.23,6
1566,51,602.75,9
713,3,580.01,2
1349,6,416.34,7
14,95,741.25,7
565,61,817.47,2
598,65,420.82,4
1530,25,106.67,7
926,59,571.37,10
1655,89,143.7,2
716,46,426.33,4
1921,66,572.41,1
83,75,808.41,2
126,73,927.96,2
1797,68,491.44,9
460,47,262.75,6
427,9,339.41,2
1850,90,931.7,8
1063,58,531.41,6
1943,64,225.35,3
182,98,875.6,4
539,93,210.48,6
1114,17,646.62,2
1957,46,368.11,3
1032,57,561.57,8
948,65,738.33,2
400,46,617.82,4
1824,31,283.24,6
1176,97,580.73,10
1772,78,152.59,7
246,49,714.42,9
1193,79,624.59,4
1603,62,392.05,3
1191,33,403.64,7
1814,17,851.04,3
1082,78,222.6,8
865,84,619.37,7
1829,18,105.6,6
961,68,521.98,5
1826,74,938.2,7
653,11,166.01,9
1220,57,733.76,4
1585,82,460.47,3
635,50,862.33,8
145,43,417.55,9
1969,55,765.97,4
618,68,113.66,9
490,16,774.24,6
1939,5,418.74,2
612,5,106.63,8
1361,26,732.89,4
764,40,447.9,9
1182,89,54.44,4
1153,24,609.62,9
1696,21,576.43,5
499,59,405.97,6
1776,1,858.63,5
539,39,667.4,1
240,54,113.12,5
939,58,609.22,1
385,55,241.8,1
445,13,111.72,3
1565,41,511.89,2
776,63,901.82,10
400,53,455.66,2
512,78,762.16,8
1083,62,397.64,10
746,30,665.87,6
942,77,635.63,6
1697,93,388.06,2
20,16,538.34,2
733,55,249.37,6
236,80,417.93,3
706,39,56.51,4
1392,82,860.24,4
853,53,410.22,3
886,69,278.67,8
1815,20,702.56,10
601,39,619.25,4
1665,21,436.81,7
1432,86,997.16,8
1332,95,969.72,3
859,65,907.22,5
1446,25,610.5,10
237,70,140.96,3
1950,41,129.7,1
616,96,519.8,4
516,65,92.02,3
442,83,337.03,7
682,48,480.27,8
1382,91,128.0,5
434,4,287.39,8
580,71,355.52,1
7,10,754.69,3
1610,93,69.71,9
551,85,749.56,5
1997,33,571.68,4
66,48,776.12,7
1800,62,505.04,4
1380,93,435.86,8
1689,13,709.8,8
942,66,423.38,6
609,78,119.25,2
963,46,874.93,9
628,71,628.2,10
171,54,620.59,7
1253,22,794.16,10
1866,18,288.24,9
1051,55,446.61,10
26,79,285.18,9
1716,41,434.88,5
1586,8,405.86,8
1356,38,893.21,7
1552,52,989.82,4
713,26,468.06,5
1506,78,746.41,7
378,90,544.36,6
1626,98,88.86,3
1962,68,936.43,8
716,52,591.35,2
1718,57,414.0,9
1420,88,653.35,4
766,55,893.93,7
165,90,991.69,2
760,67,805.77,5
220,48,69.95,2
717,6,281.6,5
997,90,986.67,10
1293,7,423.53,1
1436,78,711.4,2
1536,84,882.84,1
1990,88,214.44,3
336,56,552.52,3
1565,60,68.11,9
1825,33,825.12,1
569,43,529.67,10
477,15,823.18,10
553,36,751.17,2
1432,83,600.9,9
1570,1,685.47,2
1487,87,171.46,9
1341,42,878.18,1
1474,26,293.32,6
1693,10,534.66,1
1625,67,610.39,10
1190,23,437.0,7
150,50,646.16,7
8,98,468.58,4
1648,7,572.87,2
1426,64,473.81,6
1150,87,718.56,3
406,86,619.92,9
1365,79,535.33,8
1759,22,636.38,5
192,75,329.11,9
885,56,144.08,3
1342,59,526.6,6
1417,51,225.17,9
816,57,482.26,6
1492,5,518.48,6
768,4,971.9,4
591,33,432.11,3
831,83,170.29,5
293,13,139.16,1
802,22,301.44,6
2,4,492.36,2
977,52,579.76,10
1905,7,483.5,4
251,87,962.89,9
1624,79,131.1,1
544,93,696.64,10
1274,51,300.89,4
1224,53,773.82,8
1882,69,953.4,8
569,22,859.1,6
392,10,167.44,5
1804,73,141.57,2
1415,94,238.68,7
298,94,856.06,6
982,98,752.64,9
1752,43,380.42,10
916,82,853.56,3
709,12,419.6,8
470,3,417.24,4
11,93,757.87,10
1228,37,136.63,6
655,6,250.59,3
149,99,433.39,9
1158,52,771.46,8
31,32,363.2,6
305,25,234.43,8
167,4,173.19,9
1261,82,760.74,3
1945,65,639.39,7
1644,68,288.93,10
1811,72,685.9,3
419,83,676.82,3
405,34,255.47,6
1871,45,913.0,7
1156,8,187.13,7
1514,18,574.17,6
481,60,338.43,8
94,68,310.2,2
1711,55,724.05,9
111,64,57.53,6
659,6,952.17,2
1003,48,914.45,3
440,50,706.76,6
46,56,961.07,4
1616,9,415.63,7
1034,12,652.79,3
1234,32,248.4,4
1517,64,642.71,2
1963,91,232.04,6
1259,81,638.24,2
1553,98,533.29,10
382,34,593.1,5
1352,47,501.31,6
1534,5,521.86,9
917,84,946.91,2
136,69,508.94,2
581,11,833.75,1
196,89,508.76,2
321,12,559.53,3
500,97,533.97,7
470,25,562.09,6
1409,31,261.92,4
487,29,966.5,8
1221,38,184.19,9
454,24,925.89,1
1448,79,506.49,9
1805,55,298.69,5
995,13,157.06,1
446,57,637.15,4
492,16,870.75,2
283,58,933.45,3
1799,8,799.06,8
672,6,673.95,8
1452,12,666.52,2
1645,17,240.85,9
913,87,853.54,4
1606,98,827.16,7
63,65,954.61,1
650,23,407.36,4
1053,62,551.22,4
1498,65,116.18,2
1192,77,630.58,3
811,23,736.76,1
1896,44,752.49,10
772,61,335.84,5
1516,93,556.99,8
923,15,992.75,1
1741,7,994.32,9
1756,45,506.56,1
463,48,420.87,3
1552,32,738.66,2
1280,90,478.82,1
1787,96,680.51,8
1838,91,810.01,9
354,42,146.34,1
1518,18,276.18,3
986,24,970.11,4
891,78,680.79,1
1364,98,164.81,8
1689,84,809.88,3
1046,3,980.56,8
363,8,864.61,8
1184,78,245.31,2
1471,69,57.28,8
1237,95,386.73,3
1952,53,243.72,6
1919,12,237.24,4
1678,90,714.63,5
161,54,290.61,2
62,82,703.63,10
1337,66,407.89,2
1689,3,227.79,1
290,12,213.24,10
1736,15,218.6,10
180,4,840.54,7
155,66,749.16,1
374,1,883.6,4
1527,3,143.86,2
929,55,784.7,6
1787,79,156.14,4
1889,47,257.95,7
375,62,201.13,7
284,41,122.29,2
861,83,660.74,3
863,79,814.17,5
1785,40,243.0,2
1487,13,488.16,3
951,23,541.42,1
1065,23,308.41,8
625,7,866.72,2
1720,47,506.78,7
1157,4,174.5,10
745,82,232.69,5
1775,54,249.12,3
588,90,528.83,2
1819,80,137.77,2
1327,57,793.06,8
515,35,675.24,6
1838,73,230.55,5
854,56,872.35,8
484,3,705.06,8
507,95,686.46,5
1298,38,281.76,6
1876,93,944.18,5
501,61,624.5,3
1086,33,535.48,7
607,85,410.61,4
642,31,931.49,6
897,82,688.9,6
157,96,501.72,10
29,71,804.96,2
1336,50,391.75,10
560,74,940.69,4
1906,64,617.58,8
1331,48,822.78,7
1813,80,679.72,6
1992,49,451.69,10
36,86,904.26,3
817,8,200.8,4
264,59,187.55,6
1004,63,116.05,10
529,42,856.4,4
56,25,219.31,5
1325,84,976.44,3
1345,47,633.88,3
1232,26,431.98,9
107,64,806.56,4
1424,96,580.64,2
1540,9,778.22,7
1155,23,885.8,4
1905,1,550.67,3
1668,1,673.98,7
429,81,263.74,1
442,66,387.85,3
327,15,260.56,1
1222,87,491.9,4
399,91,504.97,9
224,19,53.52,5
371,4,309.96,3
1065,49,766.38,8
1202,80,398.67,2
760,35,135.73,5
965,31,987.66,1
338,55,139.91,4
565,84,264.84,10
1984,80,53.95,5
815,78,732.01,3
1644,98,483.17,10
744,27,680.99,7
544,91,616.32,1
1381,71,729.75,10
907,77,412.26,7
1530,28,217.19,2
7,82,217.88,2
374,58,80.45,8
1771,87,347.66,3
995,98,56.71,1
1629,80,422.76,4
794,68,929.46,1
156,24,983.49,10
659,12,660.92,3
161,60,456.83,6
914,61,661.19,7
766,86,491.9,1
653,62,254.23,3
1522,56,496.47,4
804,80,774.26,8
88,59,91.39,2
1359,84,829.98,2
1876,74,752.46,3
1716,12,429.42,6
1050,59,106.88,4
191,42,846.39,10
217,15,390.62,3
923,9,793.68,7
1807,17,363.08,10
1753,47,93.98,7
865,23,101.26,9
1577,67,332.64,10
740,85,917.19,3
1704,40,644.99,2
1146,53,572.93,5
172,22,724.75,5
638,13,497.87,10
1226,53,191.6,3
1259,92,364.76,3
1311,29,789.17,1
1042,86,325.31,7
1929,89,483.14,8
737,33,667.57,8
513,5,115.22,10
609,13,78.61,6
587,1,323.29,4
909,1,546.65,6
514,22,646.53,9
85,12,898.97,3
300,16,966.41,2
170,68,502.12,8
1417,32,722.51,9
264,67,411.95,1
174,80,76.42,10
1355,38,720.57,3
1833,33,405.46,8
59,38,805.87,5
1893,53,475.44,6
1095,86,126.48,5
1241,99,821.2,4
414,31,111.1,3
608,98,243.42,5
340,42,815.6,5
279,89,932.9,4
1927,79,117.62,8
349,48,378.83,2
266,97,296.05,6
1415,23,687.22,2
13,42,747.19,1
559,57,996.11,5
702,75,852.51,5
1040,29,522.64,1
436,59,258.04,8
1383,10,828.28,1
1400,1,493.02,6
78,86,913.11,8
1491,10,834.18,4
1989,30,114.43,1
1755,53,109.23,8
1835,90,455.58,8
237,59,254.16,1
1213,67,299.27,1
79,90,903.26,10
1304,60,68.85,10
312,56,279.01,1
304,59,376.13,7
521,89,391.47,1
1955,67,521.76,1
201,59,345.62,8
1676,61,147.31,10
842,4,966.73,4
348,45,809.92,2
100,79,327.7,4
1834,84,269.7,2
1675,98,845.84,5
1449,98,60.46,8
1583,93,149.37,6
166,93,420.76,1
555,17,529.03,3
811,12,360.47,6
832,36,901.41,8
1348,72,726.71,1
1961,96,714.44,1
137,62,560.79,10
1231,41,794.11,6
679,35,160.69,2
56,95,983.75,1
1486,18,229.89,1
1449,85,759.49,7
1,14,571.27,3
1420,39,784.32,8
1789,45,699.29,6
795,95,927.13,8
675,14,479.37,3
1040,25,589.97,2
1115,12,663.17,1
714,13,896.95,7
1395,1,456.64,1
10,15,702.88,8
1324,78,912.97,4
1685,73,738.49,2
1755,61,677.13,10
1130,13,111.02,2
1093,31,254.81,3
1530,31,669.28,1
503,63,318.12,2
1915,23,989.66,8
1427,79,807.08,2
1008,32,71.93,4
1204,58,915.3,9
469,2,387.12,7
250,56,209.48,5
1114,28,779.31,3
306,67,650.82,7
1020,38,393.2,8
2000,23,681.94,10
57,63,618.71,7
1898,41,840.14,2
1877,65,926.08,1
272,70,774.62,9
865,42,498.04,1
1452,59,278.51,9
1099,83,905.81,6
1784,15,248.62,5
473,92,611.93,3
823,3,876.66,8
1621,96,591.44,3
1500,9,436.97,8
1447,51,179.86,7
306,69,620.19,6
807,99,521.02,1
1603,25,356.94,5
1289,57,519.03,4
100,17,294.96,3
23,15,379.76,2
1162,5,626.93,6
187,68,366.43,9
1253,27,462.51,6
1987,77,656.5,7
145,46,290.48,9
1019,42,153.23,4
805,16,863.33,7
1628,88,317.96,1
268,47,139.15,6
304,37,749.19,6
1384,97,947.64,1
980,89,978.52,9
1060,54,255.36,4
1031,1,810.84,1
965,67,435.94,7
817,79,485.71,7
1579,99,608.06,2
582,93,596.5,3
1222,29,324.07,2
623,46,677.28,1
422,80,571.32,1
1908,89,878.63,1
491,92,738.21,4
840,48,293.65,2
573,29,848.95,8
83,58,303.69,4
1470,91,919.9,2
1974,51,580.36,8
369,97,924.55,5
1950,57,299.75,5
957,79,723.35,5
1689,19,207.57,4
1679,83,89.33,8
868,2,792.8,7
450,91,685.71,9
1294,89,141.55,4
1909,23,820.61,3
1935,57,334.65,9
1658,13,257.68,9
79,74,635.65,8
1829,73,909.63,4
971,26,631.59,9
1270,71,791.41,2
1683,19,848.05,5
1295,99,397.36,2
199,46,487.02,4
581,60,144.39,4
812,39,995.42,2
1762,75,336.39,10
890,96,874.49,1
1952,99,880.81,3
687,80,407.08,7
426,38,364.46,3
156,62,448.93,6
730,47,602.19,3
408,18,473.88,1
1803,84,154.74,9
1542,64,753.38,9
67,82,506.41,7
670,82,439.32,5
1622,15,828.83,4
1736,23,556.33,10
562,84,416.15,1
211,96,925.27,10
280,27,110.27,5
93,94,748.06,1
1155,92,280.36,2
566,5,291.31,9
125,17,248.99,1
182,21,928.33,8
1842,92,897.63,6
1908,13,231.95,1
2000,94,559.1,5
662,21,133.49,6
595,84,146.42,2
1044,84,176.65,3
336,80,471.08,3
537,58,668.84,9
1726,40,867.85,5
887,34,337.96,5
1759,22,108.54,10
820,43,287.97,10
359,34,142.39,6
286,80,788.06,10
1461,24,707.01,10
5,48,593.82,4
1334,2,389.69,4
953,49,397.55,5
1768,37,612.47,7
189,2,659.12,4
1452,97,880.34,6
996,12,483.47,8
584,58,336.51,5
1775,7,305.97,8
1090,19,68.56,10
1484,87,893.03,8
921,74,701.48,7
1838,69,160.88,2
734,12,998.25,3
2000,33,846.89,1
279,78,240.47,10
1424,48,298.24,4
1953,11,818.57,1
153,59,592.07,4
940,42,492.48,9
433,18,362.02,2
505,88,332.33,8
340,51,995.83,10
1518,84,270.06,4
969,10,236.74,5
893,42,391.47,3
1744,12,462.5,4
674,74,942.55,1
976,59,603.14,2
188,43,438.2,7
959,82,50.45,7
528,11,217.5,1
537,76,370.58,2
444,28,800.27,3
653,3,568.26,3
1000,76,394.24,7
1575,99,474.3,4
1932,83,297.25,10
452,84,963.46,1
1355,6,694.8,6
963,27,144.45,7
1044,38,807.61,2
1708,72,253.67,8
914,3,520.09,7
243,97,541.41,4
1996,69,320.11,10
1960,12,409.31,1
1845,73,564.69,2
293,17,576.9,1
1683,38,841.78,9
404,15,315.96,10
402,93,158.03,1
225,43,874.01,5
1455,93,863.75,8
232,90,808.71,2
1915,44,176.67,1
893,30,975.0,8
1606,2,967.59,6
406,13,512.83,4
1674,37,76.75,10
1459,87,200.89,4
946,2,925.31,8
656,57,180.79,10
1446,63,941.57,4
619,32,136.11,3
1052,38,427.22,6
623,51,717.6,2
1163,10,225.49,6
734,72,221.67,1
1112,21,994.6,6
1145,81,578.94,4
1799,51,738.22,10
1326,17,920.87,8
871,72,214.17,9
1437,43,923.02,5
618,61,710.35,9
1415,31,227.48,2
1054,11,258.17,8
506,94,313.87,7
45,18,490.25,2
1102,18,346.56,9
1888,19,528.13,2
315,87,170.29,1
1898,70,672.37,10
207,67,917.45,3
709,71,836.15,8
1217,98,116.8,7
879,1,792.46,8
517,23,336.55,2
1981,74,364.13,8
1937,59,530.21,9
73,69,541.28,2
960,85,517.7,3
1761,90,355.16,9
202,15,691.61,7
1499,28,243.65,6
1836,49,608.38,6
1694,57,395.24,3
1163,34,484.88,3
357,21,129.21,1
1161,38,87.44,6
1141,59,347.67,6
368,63,280.98,3
257,63,899.24,3
377,59,200.76,8
83,3,613.61,1
1772,47,701.47,4
725,9,285.39,4
818,8,421.73,4
1240,6,812.57,9
1721,67,581.14,7
817,58,916.71,4
365,89,353.61,8
164,79,817.67,8
1338,80,475.77,3
339,27,93.12,3
1633,66,378.78,4
494,99,720.42,9
385,9,465.5,9
517,39,875.42,2
803,42,681.7,7
592,63,213.39,10
1154,94,609.3,5
208,66,474.22,3
1642,76,824.97,4
1438,88,838.73,6
772,33,755.05,7
1090,62,105.82,3
85,6,186.62,3
1842,15,753.22,5
1400,62,556.44,10
1237,35,735.85,1
165,73,114.11,1
951,2,321.09,6
1893,46,329.47,5
1017,51,381.99,6
826,88,381.04,3
1492,21,221.75,1
323,37,632.67,10
622,94,463.0,1
692,72,117.59,5
1561,85,303.41,6
1530,96,611.06,3
782,96,335.6,9
261,27,174.53,6
955,27,168.45,7
1698,82,729.96,8
1039,78,777.46,7
1674,23,215.17,7
1981,35,733.39,6
101,54,685.87,2
594,43,917.85,5
678,98,100.73,7
920,7,417.3,9
227,67,645.65,1
267,34,368.4,6
522,96,367.99,7
1773,3,851.85,6
73,41,234.07,9
752,95,240.48,8
1261,17,867.75,2
1251,24,497.41,3
1623,76,199.03,6
642,59,94.47,3
1057,20,147.47,6
799,27,648.81,10
1240,72,314.51,7
119,27,499.46,3
499,97,126.83,6
1655,92,819.23,10
277,86,659.43,4
1113,70,797.47,6
1413,3,367.67,7
1077,3,625.24,3
842,13,683.48,10
1936,49,341.94,4
588,64,989.54,8
1796,92,444.67,8
1430,29,272.58,7
822,97,848.06,1
383,5,672.25,4
1518,6,111.12,2
162,12,290.35,1
343,44,976.99,5
1478,2,985.2,4
67,98,592.04,1
428,92,333.71,4
1051,83,688.41,7
1945,14,791.81,4
840,66,934.73,8
719,91,644.33,3
1486,37,436.49,6
